iter	Passed	Remaining
0	287	287259
1	292	145770
2	296	98592
3	301	75026
4	305	60816
5	309	51354
6	314	44584
7	318	39530
8	322	35457
9	324	32119
10	326	29388
11	329	27123
12	331	25191
13	334	23548
14	337	22133
15	339	20892
16	342	19799
17	345	18834
18	347	17919
19	348	17081
20	350	16321
21	351	15633
22	353	15002
23	354	14424
24	356	13897
25	357	13408
26	359	12955
27	361	12534
28	362	12140
29	364	11773
30	365	11431
31	367	11107
32	368	10804
33	370	10523
34	372	10257
35	373	9998
36	374	9750
37	375	9514
38	376	9286
39	377	9071
40	379	8867
41	380	8671
42	381	8486
43	382	8307
44	383	8137
45	384	7972
46	385	7816
47	386	7668
48	387	7524
49	388	7386
50	389	7253
51	390	7126
52	392	7004
53	393	6886
54	394	6774
55	395	6663
56	396	6556
57	397	6454
58	398	6354
59	399	6258
60	400	6165
61	401	6076
62	402	5989
63	403	5904
64	404	5821
65	405	5741
66	406	5664
67	407	5582
68	408	5510
69	409	5439
70	410	5369
71	411	5304
72	412	5238
73	413	5174
74	414	5112
75	415	5051
76	416	4995
77	417	4938
78	418	4883
79	419	4827
80	420	4774
81	421	4722
82	422	4672
83	423	4622
84	424	4572
85	425	4526
86	426	4476
87	427	4432
88	428	4388
89	429	4345
90	430	4303
91	431	4262
92	432	4221
93	433	4182
94	434	4143
95	435	4105
96	436	4067
97	437	4031
98	439	3995
99	440	3961
100	441	3926
101	441	3888
102	442	3856
103	443	3823
104	444	3791
105	445	3761
106	447	3732
107	448	3702
108	449	3673
109	450	3644
110	451	3615
111	452	3587
112	453	3560
113	454	3533
114	455	3506
115	456	3478
116	457	3452
117	458	3426
118	459	3400
119	460	3375
120	461	3351
121	462	3327
122	463	3301
123	464	3278
124	464	3254
125	466	3232
126	467	3210
127	467	3186
128	468	3164
129	469	3144
130	470	3123
131	471	3103
132	472	3083
133	474	3063
134	475	3044
135	476	3025
136	477	3006
137	478	2986
138	479	2968
139	480	2950
140	481	2932
141	482	2915
142	483	2897
143	484	2880
144	485	2863
145	486	2846
146	487	2830
147	488	2813
148	489	2797
149	490	2781
150	491	2765
151	492	2750
152	494	2734
153	494	2719
154	496	2704
155	497	2689
156	498	2674
157	499	2659
158	500	2645
159	501	2631
160	502	2617
161	503	2604
162	504	2590
163	505	2577
164	506	2564
165	507	2551
166	508	2538
167	509	2525
168	510	2512
169	511	2499
170	513	2487
171	514	2474
172	514	2461
173	515	2449
174	517	2437
175	518	2425
176	519	2414
177	520	2403
178	521	2391
179	522	2379
180	522	2366
181	524	2355
182	525	2344
183	526	2333
184	527	2322
185	528	2312
186	529	2301
187	530	2290
188	531	2280
189	532	2269
190	533	2259
191	534	2249
192	535	2239
193	536	2229
194	537	2219
195	538	2209
196	539	2199
197	540	2189
198	541	2180
199	542	2170
200	543	2161
201	544	2152
202	545	2142
203	546	2133
204	547	2124
205	548	2115
206	549	2106
207	550	2098
208	552	2089
209	553	2080
210	554	2071
211	555	2063
212	556	2055
213	557	2046
214	558	2038
215	559	2029
216	560	2021
217	561	2013
218	562	2005
219	563	1997
220	564	1989
221	565	1981
222	566	1973
223	567	1966
224	568	1958
225	569	1951
226	570	1943
227	571	1936
228	572	1928
229	573	1921
230	575	1914
231	576	1906
232	577	1899
233	578	1892
234	579	1885
235	580	1878
236	581	1871
237	582	1865
238	583	1858
239	584	1850
240	585	1844
241	586	1837
242	587	1830
243	588	1823
244	589	1816
245	590	1810
246	591	1803
247	592	1797
248	593	1790
249	594	1784
250	595	1778
251	596	1771
252	597	1765
253	598	1759
254	600	1753
255	601	1746
256	602	1740
257	603	1734
258	604	1728
259	605	1722
260	606	1716
261	607	1710
262	608	1704
263	609	1699
264	610	1693
265	611	1688
266	612	1682
267	613	1676
268	614	1670
269	615	1665
270	616	1659
271	617	1653
272	618	1648
273	619	1642
274	620	1636
275	621	1631
276	623	1626
277	624	1621
278	625	1615
279	626	1610
280	627	1605
281	628	1599
282	629	1594
283	630	1589
284	631	1584
285	632	1579
286	633	1574
287	634	1569
288	635	1564
289	636	1558
290	637	1553
291	638	1549
292	639	1544
293	640	1538
294	641	1534
295	642	1529
296	643	1524
297	644	1519
298	646	1514
299	647	1509
300	648	1505
301	649	1500
302	650	1495
303	651	1491
304	652	1486
305	653	1482
306	654	1477
307	655	1472
308	656	1468
309	657	1463
310	658	1458
311	659	1454
312	660	1450
313	661	1445
314	662	1441
315	663	1436
316	664	1432
317	665	1427
318	666	1423
319	667	1419
320	668	1415
321	670	1410
322	671	1406
323	672	1402
324	673	1397
325	674	1393
326	675	1389
327	676	1385
328	677	1381
329	678	1377
330	679	1372
331	680	1368
332	681	1364
333	682	1360
334	683	1356
335	684	1352
336	685	1348
337	686	1344
338	687	1340
339	688	1337
340	689	1333
341	690	1329
342	691	1325
343	692	1321
344	694	1317
345	695	1314
346	696	1310
347	697	1306
348	698	1302
349	699	1298
350	700	1295
351	701	1291
352	702	1287
353	703	1283
354	704	1280
355	705	1276
356	706	1272
357	707	1268
358	708	1265
359	709	1261
360	710	1257
361	711	1254
362	712	1250
363	713	1247
364	714	1243
365	715	1239
366	716	1236
367	717	1232
368	718	1229
369	720	1225
370	721	1222
371	722	1219
372	723	1215
373	724	1212
374	725	1208
375	726	1205
376	727	1202
377	728	1198
378	729	1195
379	730	1191
380	731	1188
381	732	1185
382	733	1181
383	734	1178
384	735	1175
385	736	1172
386	738	1169
387	739	1165
388	740	1162
389	741	1159
390	742	1156
391	743	1153
392	744	1149
393	745	1146
394	746	1143
395	747	1140
396	748	1137
397	749	1134
398	750	1130
399	751	1127
400	752	1124
401	753	1121
402	755	1118
403	756	1115
404	757	1112
405	758	1109
406	759	1106
407	760	1103
408	761	1100
409	762	1097
410	763	1094
411	764	1090
412	765	1088
413	766	1084
414	767	1081
415	768	1078
416	769	1075
417	770	1072
418	771	1069
419	772	1066
420	773	1064
421	774	1061
422	775	1058
423	776	1055
424	777	1052
425	778	1049
426	779	1046
427	780	1043
428	782	1040
429	782	1037
430	784	1035
431	785	1032
432	786	1029
433	787	1026
434	788	1023
435	789	1021
436	790	1018
437	791	1015
438	792	1012
439	793	1009
440	794	1007
441	795	1004
442	796	1001
443	797	998
444	798	995
445	799	993
446	800	990
447	801	987
448	802	985
449	803	982
450	804	979
451	805	977
452	806	974
453	808	971
454	809	969
455	810	966
456	811	963
457	812	961
458	813	958
459	814	955
460	815	953
461	816	950
462	817	948
463	818	945
464	819	943
465	820	940
466	821	937
467	822	935
468	824	933
469	825	930
470	826	928
471	827	925
472	828	922
473	829	920
474	830	917
475	831	915
476	832	912
477	833	910
478	834	907
479	835	905
480	836	902
481	837	900
482	838	897
483	839	895
484	840	892
485	841	890
486	842	887
487	843	885
488	844	882
489	845	880
490	846	877
491	847	875
492	848	873
493	850	870
494	851	868
495	852	865
496	853	863
497	854	861
498	855	858
499	856	856
500	857	853
501	858	851
502	859	848
503	860	846
504	861	844
505	862	841
506	863	839
507	864	837
508	865	834
509	866	832
510	867	830
511	868	827
512	869	825
513	870	823
514	871	820
515	872	818
516	873	816
517	874	814
518	875	811
519	876	809
520	878	807
521	879	805
522	880	802
523	881	800
524	882	798
525	883	796
526	884	793
527	885	791
528	886	789
529	887	787
530	888	784
531	889	782
532	890	780
533	891	778
534	892	776
535	894	773
536	895	771
537	896	769
538	897	767
539	898	765
540	899	762
541	900	760
542	901	758
543	902	756
544	903	754
545	904	751
546	905	749
547	906	747
548	907	745
549	908	743
550	909	741
551	910	739
552	911	736
553	912	734
554	913	732
555	914	730
556	915	728
557	916	726
558	917	724
559	918	721
560	919	719
561	920	717
562	922	715
563	923	713
564	924	711
565	925	709
566	926	707
567	927	705
568	928	703
569	929	701
570	930	698
571	931	696
572	932	694
573	933	692
574	934	690
575	935	688
576	936	686
577	937	684
578	938	682
579	939	680
580	940	678
581	941	676
582	942	674
583	943	672
584	944	670
585	945	668
586	946	666
587	947	664
588	948	662
589	950	660
590	951	658
591	952	656
592	953	654
593	954	652
594	955	650
595	956	648
596	957	646
597	958	644
598	959	642
599	960	640
600	961	638
601	962	636
602	963	634
603	965	632
604	966	630
605	967	628
606	968	626
607	969	624
608	970	622
609	971	621
610	972	619
611	973	617
612	974	615
613	975	613
614	976	611
615	977	609
616	978	607
617	979	605
618	980	603
619	981	601
620	983	599
621	984	598
622	985	596
623	986	594
624	987	592
625	988	590
626	989	588
627	990	586
628	991	584
629	992	582
630	993	580
631	994	578
632	995	577
633	996	575
634	997	573
635	998	571
636	999	569
637	1000	567
638	1001	565
639	1002	563
640	1003	562
641	1004	560
642	1005	558
643	1006	556
644	1007	554
645	1008	552
646	1009	550
647	1010	549
648	1011	547
649	1012	545
650	1013	543
651	1014	541
652	1016	539
653	1017	538
654	1018	536
655	1019	534
656	1020	532
657	1021	530
658	1022	529
659	1023	527
660	1024	525
661	1025	523
662	1026	521
663	1027	520
664	1028	518
665	1029	516
666	1030	514
667	1031	512
668	1032	511
669	1034	509
670	1035	507
671	1036	505
672	1037	504
673	1038	502
674	1039	500
675	1040	498
676	1041	497
677	1042	495
678	1044	493
679	1045	491
680	1046	490
681	1047	488
682	1048	486
683	1049	484
684	1050	482
685	1051	481
686	1052	479
687	1053	477
688	1054	475
689	1055	474
690	1056	472
691	1057	470
692	1058	468
693	1059	467
694	1060	465
695	1061	463
696	1062	462
697	1064	460
698	1065	458
699	1066	456
700	1067	455
701	1068	453
702	1069	451
703	1070	450
704	1071	448
705	1072	446
706	1073	444
707	1074	443
708	1075	441
709	1076	439
710	1077	438
711	1079	436
712	1080	434
713	1081	433
714	1082	431
715	1083	429
716	1084	428
717	1085	426
718	1087	424
719	1088	423
720	1089	421
721	1090	419
722	1091	418
723	1092	416
724	1093	414
725	1095	413
726	1096	411
727	1097	409
728	1098	408
729	1099	406
730	1100	404
731	1101	403
732	1102	401
733	1103	399
734	1104	398
735	1106	396
736	1107	395
737	1108	393
738	1109	391
739	1110	390
740	1111	388
741	1112	386
742	1113	385
743	1114	383
744	1115	381
745	1116	380
746	1117	378
747	1118	376
748	1119	375
749	1120	373
750	1121	371
751	1122	370
752	1123	368
753	1124	367
754	1126	365
755	1127	363
756	1128	362
757	1129	360
758	1130	358
759	1131	357
760	1132	355
761	1133	354
762	1134	352
763	1135	350
764	1136	349
765	1137	347
766	1138	346
767	1139	344
768	1141	342
769	1142	341
770	1143	339
771	1144	337
772	1145	336
773	1146	334
774	1147	333
775	1148	331
776	1149	330
777	1150	328
778	1151	326
779	1152	325
780	1153	323
781	1154	321
782	1155	320
783	1156	318
784	1157	317
785	1158	315
786	1160	313
787	1161	312
788	1162	310
789	1163	309
790	1164	307
791	1165	306
792	1166	304
793	1167	303
794	1169	301
795	1170	299
796	1171	298
797	1172	296
798	1173	295
799	1174	293
800	1175	292
801	1176	290
802	1177	288
803	1179	287
804	1180	285
805	1181	284
806	1182	282
807	1183	281
808	1184	279
809	1185	278
810	1186	276
811	1187	275
812	1189	273
813	1190	272
814	1191	270
815	1192	268
816	1193	267
817	1194	265
818	1195	264
819	1196	262
820	1197	261
821	1198	259
822	1199	258
823	1200	256
824	1202	254
825	1203	253
826	1204	251
827	1205	250
828	1206	248
829	1207	247
830	1208	245
831	1209	244
832	1210	242
833	1212	241
834	1213	239
835	1214	238
836	1215	236
837	1216	235
838	1217	233
839	1218	232
840	1219	230
841	1220	229
842	1222	227
843	1223	226
844	1224	224
845	1225	223
846	1226	221
847	1227	220
848	1228	218
849	1229	217
850	1230	215
851	1232	214
852	1233	212
853	1234	211
854	1235	209
855	1236	208
856	1238	206
857	1239	205
858	1240	203
859	1241	202
860	1242	200
861	1243	199
862	1244	197
863	1245	196
864	1246	194
865	1247	193
866	1249	191
867	1250	190
868	1251	188
869	1252	187
870	1253	185
871	1254	184
872	1255	182
873	1256	181
874	1257	179
875	1258	178
876	1259	176
877	1260	175
878	1261	173
879	1262	172
880	1263	170
881	1264	169
882	1266	167
883	1267	166
884	1268	164
885	1269	163
886	1271	161
887	1272	160
888	1273	159
889	1274	157
890	1275	156
891	1276	154
892	1277	153
893	1279	151
894	1280	150
895	1281	148
896	1283	147
897	1284	145
898	1285	144
899	1286	142
900	1287	141
901	1288	140
902	1289	138
903	1290	137
904	1291	135
905	1293	134
906	1294	132
907	1295	131
908	1296	129
909	1297	128
910	1298	126
911	1299	125
912	1300	123
913	1301	122
914	1302	121
915	1303	119
916	1305	118
917	1306	116
918	1307	115
919	1308	113
920	1309	112
921	1310	110
922	1311	109
923	1312	107
924	1313	106
925	1314	105
926	1315	103
927	1317	102
928	1318	100
929	1319	99
930	1320	97
931	1321	96
932	1322	94
933	1323	93
934	1324	92
935	1325	90
